x-grades
-2309732872385432613/4000000000000000
-1136160030136492813/2000000000000000
-2234907248160538639/4000000000000000
-549373609012022913/1000000000000000
-432016324787128933/800000000000000
-1061334405911598839/2000000000000000
-2085255999710750691/4000000000000000
-255980398449787963/500000000000000
-2010430375485856717/4000000000000000
-197301756337340973/400000000000000
-1935604751260962743/4000000000000000
-474547984787128939/1000000000000000
-1860779127036068769/4000000000000000
-911683157461810891/2000000000000000
-357190700562234959/800000000000000
-13660474146083811/31250000000000
-1711127878586280821/4000000000000000
-836857533236916917/2000000000000000
-1636302254361386847/4000000000000000
-79944472112446993/200000000000000
-1561476630136492873/4000000000000000
-762031909012022943/2000000000000000
-1486651005911598899/4000000000000000
-181154774224893989/500000000000000
-56473015267468197/160000000000000
-687206284787128969/2000000000000000
-1336999757461810951/4000000000000000
-324896736337340991/1000000000000000
-1262174133236916977/4000000000000000
-122476132112446999/400000000000000
-1187348509012023003/4000000000000000
-71870981056223501/250000000000000
-1112522884787129029/4000000000000000
-537555036337341021/2000000000000000
-207539452112447011/800000000000000
-250071112112447017/1000000000000000
-962871636337341081/4000000000000000
-462729412112447047/2000000000000000
-888046012112447107/4000000000000000
-21265830000000003/100000000000000

y-grades
0
18
21
2127609/100000
3498571/100000
961769/25000
43
4682597/100000
1188663/25000
1538917/25000
6209669/100000
6222539/100000
312619/5000
318303/5000
1662077/25000
67
7051709/100000
75
3864153/50000
7962833/100000
1741749/20000
1835647/20000
9527157/100000
99

Dimensions > 0:
(0, 0, 19)
(0, 1, 19)
(0, 2, 19)
(0, 3, 19)
(0, 4, 19)
(0, 5, 19)
(0, 6, 19)
(0, 7, 19)
(0, 8, 19)
(0, 9, 19)
(0, 10, 17)
(0, 11, 16)
(0, 12, 15)
(0, 13, 15)
(0, 14, 15)
(0, 15, 15)
(0, 16, 15)
(0, 17, 14)
(0, 18, 14)
(0, 19, 14)
(0, 20, 14)
(0, 21, 14)
(0, 22, 14)
(0, 23, 14)

(1, 0, 19)
(1, 1, 19)
(1, 2, 19)
(1, 3, 19)
(1, 4, 19)
(1, 5, 19)
(1, 6, 19)
(1, 7, 19)
(1, 8, 19)
(1, 9, 19)
(1, 10, 17)
(1, 11, 16)
(1, 12, 15)
(1, 13, 15)
(1, 14, 15)
(1, 15, 15)
(1, 16, 15)
(1, 17, 14)
(1, 18, 14)
(1, 19, 14)
(1, 20, 14)
(1, 21, 14)
(1, 22, 14)
(1, 23, 14)

(2, 0, 19)
(2, 1, 19)
(2, 2, 19)
(2, 3, 19)
(2, 4, 19)
(2, 5, 19)
(2, 6, 19)
(2, 7, 19)
(2, 8, 19)
(2, 9, 19)
(2, 10, 17)
(2, 11, 16)
(2, 12, 15)
(2, 13, 15)
(2, 14, 15)
(2, 15, 15)
(2, 16, 15)
(2, 17, 14)
(2, 18, 14)
(2, 19, 14)
(2, 20, 14)
(2, 21, 14)
(2, 22, 14)
(2, 23, 14)

(3, 0, 36)
(3, 1, 36)
(3, 2, 36)
(3, 3, 36)
(3, 4, 36)
(3, 5, 36)
(3, 6, 36)
(3, 7, 36)
(3, 8, 36)
(3, 9, 36)
(3, 10, 33)
(3, 11, 31)
(3, 12, 29)
(3, 13, 29)
(3, 14, 29)
(3, 15, 29)
(3, 16, 29)
(3, 17, 27)
(3, 18, 27)
(3, 19, 27)
(3, 20, 27)
(3, 21, 27)
(3, 22, 27)
(3, 23, 27)

(4, 0, 73)
(4, 1, 73)
(4, 2, 73)
(4, 3, 73)
(4, 4, 72)
(4, 5, 70)
(4, 6, 70)
(4, 7, 70)
(4, 8, 70)
(4, 9, 70)
(4, 10, 62)
(4, 11, 58)
(4, 12, 56)
(4, 13, 56)
(4, 14, 56)
(4, 15, 56)
(4, 16, 56)
(4, 17, 54)
(4, 18, 54)
(4, 19, 54)
(4, 20, 54)
(4, 21, 53)
(4, 22, 53)
(4, 23, 53)

(5, 0, 74)
(5, 1, 74)
(5, 2, 74)
(5, 3, 74)
(5, 4, 73)
(5, 5, 71)
(5, 6, 71)
